name	maker	url	extra	description	source
AI Assistant by JetBrains	JetBrains	https://marketplace.visualstudio.com/items?itemName=JetBrains.jetbrains-ai-assistant	29257	JetBrains AI coding agent, chat, and code completion for VS Code	vscode-marketplace
Preqorsor for VS Code	silimate	https://open-vsx.org/extension/silimate/preqorsor	28923	Copilot for chip designers	open-vsx
ACP Client	Jun Han	https://marketplace.visualstudio.com/items?itemName=formulahendry.acp-client	25922	Agent Client Protocol client connecting Copilot, Claude Code, Gemini CLI, Qwen Code, Codex CLI, OpenCode	vscode-marketplace
SRD CodeFree	China Telecom Research Institute	https://marketplace.visualstudio.com/items?itemName=srdcloud.srd-copilot-vscode	25354	China Telecom AI programming assistant	vscode-marketplace
Nova Act	amazonwebservices	https://open-vsx.org/extension/amazonwebservices/amazon-nova-act-extension	25216	Generate, debug, and run web automation scripts with natural language	open-vsx
Aone Copilot	Aone	https://marketplace.visualstudio.com/items?itemName=Aone.aone-copilot	24870	Alibaba internal AI code completion plugin	vscode-marketplace
Qiskit Code Assistant (Beta)	qiskit	https://marketplace.visualstudio.com/items?itemName=qiskit.qiskit-vscode	23784	Generative AI assistant for writing and optimizing Qiskit quantum code	vscode-marketplace
Orbital AI Coding Agent / AI Code Reviews	matterai	https://open-vsx.org/extension/matterai/axon-code	22796	AI coding agent for planning, building, fixing code with AI code review	open-vsx
TestFox	TestFox	https://open-vsx.org/extension/TestFox/testfox	22683	AI-powered comprehensive testing with 18+ test categories including security	open-vsx
Hope AI	bit	https://open-vsx.org/extension/bit/hope-ai	22041	Bit's Hope AI component-driven code generation	open-vsx
EarlyAI	EarlyAI	https://marketplace.visualstudio.com/items?itemName=Early-AI.EarlyAI	19743	Auto-generates verified unit tests for JavaScript, TypeScript, Python	vscode-marketplace
Flexpilot	Flexpilot	https://marketplace.visualstudio.com/items?itemName=flexpilot.flexpilot-vscode-extension	16761	Open-source native GitHub Copilot alternative	vscode-marketplace
GenAIScript	Microsoft	https://marketplace.visualstudio.com/items?itemName=genaiscript.genaiscript-vscode	14869	Generative AI scripting for automating code and file transformations	vscode-marketplace
VSCode Reborn AI	chris-hayes	https://open-vsx.org/extension/chris-hayes/chatgpt-reborn	14701	Code with AI in VSCode with your choice of model	open-vsx
Samurai Agent	SamuraiAgent	https://open-vsx.org/extension/SamuraiAgent/samurai-agent	14242	Shows regression risk after AI code edits and reviews risky JS/TS changes	open-vsx
Crispy	the-sylvester	https://open-vsx.org/extension/the-sylvester/crispy	13562	GUI for Claude Code and Codex with multi-agent orchestration and adversarial verification	open-vsx
MyFlicker	kuaishou	https://marketplace.visualstudio.com/items?itemName=kuaishou.kwaipilot	13377	Kuaishou intelligent coding tool with agent mode, code continuation, edit prediction	vscode-marketplace
Nsight Copilot	NVIDIA	https://open-vsx.org/extension/NVIDIA/nsight-copilot	12499	NVIDIA's accelerated computing programming assistant	open-vsx
DeepSource Autofix AI	DeepSource Corp	https://marketplace.visualstudio.com/items?itemName=DeepSourceCorp.deepsource-vscode	12150	Static analysis with AI-powered autofix	vscode-marketplace
Agentforce Vibes 2.0	salesforce	https://open-vsx.org/extension/salesforce/salesforcedx-agentforce-vibes-2	11762	Turn-based Salesforce agent combining Claude Agent SDK or OpenAI Agents SDK	open-vsx
Calva Backseat Driver	betterthantomorrow	https://open-vsx.org/extension/betterthantomorrow/calva-backseat-driver	11475	Makes Copilot an interactive Clojure programmer with REPL tools	open-vsx
Trae AI Helper	trae	https://open-vsx.org/extension/trae/ai-ide	11340	ByteDance Trae AI helper	open-vsx
Debugg AI	debugg-ai	https://open-vsx.org/extension/debugg-ai/debugg-ai	11230	Zero-config fully AI-managed end-to-end testing	open-vsx
ChatIDE	ChatIDE	https://marketplace.visualstudio.com/items?itemName=ChatIDE.chatide	10874	Open-source coding and debugging assistant supporting GPT and Claude	vscode-marketplace
Privy	Privy	https://marketplace.visualstudio.com/items?itemName=privy.privy-vscode	10744	Local AI coding autocomplete, chat, test generation, bug finding	vscode-marketplace
UnodeAi — Multi-Model AI Team	unode	https://open-vsx.org/extension/unode/unodeai	9960	Project manager delegates coding across role agents on different models with receipts	open-vsx
CodeRider	JiHu-GitLab	https://marketplace.visualstudio.com/items?itemName=Jihu-GitLab.coderider-kilo	9629	GitLab China (JiHu) agentic coding extension	vscode-marketplace
Cypress Copilot	Suresh Nettur	https://marketplace.visualstudio.com/items?itemName=SureshNettur.ccaia	9510	Automates web testing by generating Cypress and Cucumber/BDD code	vscode-marketplace
App Developer Copilot	Sinduja Ramaraj	https://marketplace.visualstudio.com/items?itemName=sindujaramaraj.app-developer-copilot	9275	App developer agent for creating web and mobile apps	vscode-marketplace
Zode	youzan	https://open-vsx.org/extension/youzan/zode	9030	Youzan's AI code agent	open-vsx
ChatGPT Batch	Chad Bumstead	https://marketplace.visualstudio.com/items?itemName=ChadBumstead.vscode-chatgpt-batch	8943	Multi-file batch changes such as refactoring and unit test generation via ChatGPT	vscode-marketplace
Perplexity Pro AI Chat	Muzzafar Rather	https://marketplace.visualstudio.com/items?itemName=MuzzafarRather.perplexity-pro-ai-chat	8472	Mimics Copilot Chat agent functionality using Perplexity Pro as backend	vscode-marketplace
MutyAgent – AI Agent	mutyai	https://open-vsx.org/extension/mutyai/mutyagent	8258	Proactive AI agent for writing, coding, research, and data analysis	open-vsx
A11yResolver	A11ySolutions	https://open-vsx.org/extension/A11ySolutions/a11y-resolver-vscode-chat	8110	AI-powered accessibility fixing agent	open-vsx
IBM Bob Premium Package for Java Modernization	IBM	https://open-vsx.org/extension/IBM/bob-java	7957	Java modernization agent with guided upgrades, migration, and unit test generation	open-vsx
PixelPilot Copilot: FiveM AI Agent	PixelPilotAILabs	https://open-vsx.org/extension/PixelPilotAILabs/PixelPilot-copilot	7936	AI agent for FiveM/GTA5 development writing production Lua and auto-fixing errors	open-vsx
Jovyan AI	jovyan-ai	https://open-vsx.org/extension/jovyan-ai/jovyan	7842	AI copilot for data science in Jupyter notebooks using natural language	open-vsx
Granite.Code	redhat	https://open-vsx.org/extension/redhat/granitecode	7306	Red Hat open-source coding assistant with local Granite AI models	open-vsx
Pi Coding Agent	pi0	https://marketplace.visualstudio.com/items?itemName=pi0.pi-vscode	7295	VS Code extension for the pi coding agent	vscode-marketplace
Gemini Unit Test Generator	Zazmic	https://marketplace.visualstudio.com/items?itemName=Zazmic.palm-api-test-generator	7290	Generate unit tests with Gemini language models	vscode-marketplace
Syntx Agentic Workforce	OrangecatAI	https://marketplace.visualstudio.com/items?itemName=OrangecatTechPvtLtd.syntx	7246	Cursor-for-VSCode plus Cline/Roo features combined: AI peer programmer	vscode-marketplace
HuoHuaAI	huohuaai	https://marketplace.visualstudio.com/items?itemName=huohuaai.huohuaai	7246	Chinese AI programming assistant with completion, debugging, project creation	vscode-marketplace
AllAi Code	OSF Digital	https://marketplace.visualstudio.com/items?itemName=OSFDigital.wingman	6718	AI coding assistant for Salesforce professionals	vscode-marketplace
Devin Sessions - AI Coding Assistant	Thanks Ben	https://marketplace.visualstudio.com/items?itemName=thanksben.devin-sessions	6644	View, manage, chat with, and create Devin AI sessions in the editor	vscode-marketplace
Haka AI Studio	HakaLabChile	https://open-vsx.org/extension/HakaLabChile/haka-ai-studio	6518	AI test automation studio for Playwright and Selenium generating Gherkin tests	open-vsx
Vibe Kanban	bloop	https://marketplace.visualstudio.com/items?itemName=bloop.vibe-kanban	6439	Control your Vibe Kanban coding agents from within VS Code	vscode-marketplace
Free Repo Agent	SUMITKUMARSINGH	https://open-vsx.org/extension/SUMITKUMARSINGH/free-repo-agent	6308	Free repo-aware autonomous coding agent (DeepSeek) that edits files and runs commands	open-vsx
Wingman-AI	WingMan	https://marketplace.visualstudio.com/items?itemName=WingMan.wing-man	6016	AI agentic coding assistant working with Anthropic, OpenAI, Azure and Ollama	vscode-marketplace
watsonx Code Assistant for Enterprise Java Applications	IBM	https://marketplace.visualstudio.com/items?itemName=IBM.wca-eja	5473	Enterprise Java modernization with generative AI	vscode-marketplace
Groqopilot	Unclecode	https://marketplace.visualstudio.com/items?itemName=Unclecode.groqopilot	5466	Llama3 + Groq fast coding assistant	vscode-marketplace
Claude Autopilot	benbasha	https://open-vsx.org/extension/benbasha/claude-autopilot	5423	Automated Claude Code task management with queue processing and auto-resume	open-vsx
Tunor AI	tunor-ai	https://open-vsx.org/extension/tunor-ai/tunor-ai	5224	AI automation of Playwright tests	open-vsx
Dev Agent (小D同学)	DEDE-cn F	https://plugins.jetbrains.com/plugin/29207---d---	58	Dev Agent is an AI-powered intelligent development assistant plugin for IntelliJ Platform	jetbrains-marketplace
ProxyAI	Proxy OÜ	https://plugins.jetbrains.com/plugin/21056-proxyai	951588	AI-powered code assistant (formerly CodeGPT); BYO-model alternative to Cursor/Copilot	jetbrains-marketplace
ChatGPT-Plus	yuxin	https://plugins.jetbrains.com/plugin/21230-chatgpt-plus	183596	Chinese AI assistant plugin; ask AI to help write code in the IDE	jetbrains-marketplace
CalEx-JavaAI : AI Coding Assistant	feisuanyz	https://plugins.jetbrains.com/plugin/26766-calex-javaai--ai-coding-assistant	122425	Chinese agentic coding platform for Java	jetbrains-marketplace
Machinet AI GPT-4 Chat and Unit Tests	Machinet Inc.	https://plugins.jetbrains.com/plugin/17510-machinet-ai-gpt-4-chat-and-unit-tests	115923	Context-aware AI chat and unit test generation	jetbrains-marketplace
TalkX - ChatGPT GPT-4 Free AI code assistant	huxiao.mail	https://plugins.jetbrains.com/plugin/22181-talkx--chatgpt-gpt-4-free-ai-code-assistant	91793	Free AI programming assistant based on OpenAI GPT-4 (Chinese vendor)	jetbrains-marketplace
DevoxxGenie	Devoxx	https://plugins.jetbrains.com/plugin/24169-devoxxgenie	90221	Open-source AI coding assistant supporting local and cloud LLMs	jetbrains-marketplace
AI Coding Assistant	Andrew Charneski	https://plugins.jetbrains.com/plugin/20724-ai-coding-assistant	64264	Open-source IntelliJ AI coding assistant with code generation tools	jetbrains-marketplace
ClaudeMind	Clinde	https://plugins.jetbrains.com/plugin/25082-claudemind	59791	Claude-powered AI coding assistant in JetBrains workflow	jetbrains-marketplace
LaraAssist - AI Assistant for Laravel	Afjalur Rahman Rana	https://plugins.jetbrains.com/plugin/21187-laraassist--ai-assistant-for-laravel	21822	AI assistant for Laravel developers	jetbrains-marketplace
FlutterGPT	unknown	https://plugins.jetbrains.com/plugin/21568-fluttergpt	16593	Open-source ChatGPT assistant for Flutter code in-IDE	jetbrains-marketplace
ChatCode - Chinaunicom AI Coding Assistant	ChatCode	https://plugins.jetbrains.com/plugin/26237-chatcode--chinaunicom-ai-coding-assistant	14222	China Unicom Yuanjing intelligent R&D assistance tool	jetbrains-marketplace
CodeMaker AI	CodeMaker AI Inc.	https://plugins.jetbrains.com/plugin/21445-codemaker-ai	12351	Tools and automation for writing, testing, documenting code with AI	jetbrains-marketplace
Agent Workbench	Vladimir Krivosheev	https://plugins.jetbrains.com/plugin/30926-agent-workbench	10192	Renamed to AIR; agent workbench for running AI coding agents in JetBrains	jetbrains-marketplace
AI Code Review	Yonatha Almeida	https://plugins.jetbrains.com/plugin/21106-ai-code-review	10155	Code reviews using ChatGPT, Bard, and other AI	jetbrains-marketplace
Kwaipilot	kuaishou	https://plugins.jetbrains.com/plugin/23920-kwaipilot	9387	Kuaishou LLM-based AI coding assistant	jetbrains-marketplace
AI Predictive Coding	aicodes	https://plugins.jetbrains.com/plugin/9203-ai-predictive-coding	9016	AI autocomplete ranking and comment-to-code inference	jetbrains-marketplace
TestSpark	JetBrains s.r.o.	https://plugins.jetbrains.com/plugin/21024-testspark	8737	Unit test generation plugin integrating AI-based test generation (JetBrains Research)	jetbrains-marketplace
Onuro - AI Code Assistant	onuro	https://plugins.jetbrains.com/plugin/22895-onuro--ai-code-assistant	8393	AI code assistant across all JetBrains IDEs	jetbrains-marketplace
Explyt AI Agent	Explicit Insights LLC	https://plugins.jetbrains.com/plugin/27979-explyt-ai-agent	8262	IDE-native AI agent using JetBrains IDE APIs instead of terminal commands	jetbrains-marketplace
QAX CodeGen	QI-ANXIN GROUP	https://plugins.jetbrains.com/plugin/24156-qax-codegen	5018	Open-source AI coding agent (Chinese security vendor)	jetbrains-marketplace
Flow Coder	CI&T Flow	https://plugins.jetbrains.com/plugin/27434-flow-coder	4638	Create custom AI code assistants via CI&T Flow	jetbrains-marketplace
gpt-copilot	wei ku	https://plugins.jetbrains.com/plugin/21238-gpt-copilot	3619	Personal GPT-based code assistant	jetbrains-marketplace
AI Assistant Providers / Sessions	Daniel Espendiller	https://plugins.jetbrains.com/plugin/29900-ai-assistant-providers--sessions	3528	Configure multiple AI providers inside JetBrains AI Assistant	jetbrains-marketplace
Vajra - AI Coding Assistant	Ashish Sharda	https://plugins.jetbrains.com/plugin/29033-vajra--ai-coding-assistant	3365	Free open-source AI coding assistant for JetBrains IDEs	jetbrains-marketplace
Verdent	verdent	https://plugins.jetbrains.com/plugin/29473-verdent	3006	AI-powered agentic coding assistant for JetBrains	jetbrains-marketplace
Shire - AI Coding Agent Language	Phodal Huang	https://plugins.jetbrains.com/plugin/24549-shire--ai-coding-agent-language	2789	AI coding and agent DSL enabling LLM-IDE communication	jetbrains-marketplace
NexChat	vrisego	https://plugins.jetbrains.com/plugin/31263-nexchat	2507	All-in-one AI coding assistant	jetbrains-marketplace
RefactorGPT	Hyesong Kim	https://plugins.jetbrains.com/plugin/22014-refactorgpt	2481	Refactor selected code using ChatGPT	jetbrains-marketplace
AgentHub	AgentHub	https://plugins.jetbrains.com/plugin/32310-agenthub	2306	Toolbar button launching any popular CLI coding agent	jetbrains-marketplace
CodeAntAI	CodeAnt AI	https://plugins.jetbrains.com/plugin/23405-codeantai	1988	Automated AI code reviewer catching bugs at commit time	jetbrains-marketplace
Harness AI Code Assistant	Harness Inc	https://plugins.jetbrains.com/plugin/26296-harness-ai-code-assistant	1963	Harness's AI code assistant for JetBrains	jetbrains-marketplace
Coding By DeepSeek Or ChatGPT Or OtherAI	jiangze	https://plugins.jetbrains.com/plugin/27594-coding-by-deepseek-or-chatgpt-or-otherai	1651	IDE-based AI coding assistant covering five workflows	jetbrains-marketplace
ChainlessChain IDE Bridge	chainlesschain	https://plugins.jetbrains.com/plugin/32208-chainlesschain-ide-bridge	1608	Brings the ChainlessChain cc agent CLI into JetBrains as a side-panel coding agent	jetbrains-marketplace
JAIPilot - One-Click AI Agent for Java Unit Testing	JAIPilot	https://plugins.jetbrains.com/plugin/27706-jaipilot--one-click-ai-agent-for-java-unit-testing	1547	AI agent that generates, runs, and fixes Java unit tests	jetbrains-marketplace
Azure Coding	小白菜	https://plugins.jetbrains.com/plugin/22194-azure-coding	1319	Use Azure OpenAI to write, interpret, and optimize code	jetbrains-marketplace
CPS Agent	Steffen Schubert	https://plugins.jetbrains.com/plugin/25434-cps-agent	1253	Conversational LLM-based agent for programming tasks	jetbrains-marketplace
QTA SmartTest	QTA	https://plugins.jetbrains.com/plugin/29217-qta-smarttest	1058	Tencent QTA AI testing plugin with one-click unit test generation	jetbrains-marketplace
Llamatik Code	Llamatik AI	https://plugins.jetbrains.com/plugin/31304-llamatik-code	1015	Local-first AI coding assistant	jetbrains-marketplace
LQCodeMind	lq-developer	https://plugins.jetbrains.com/plugin/29215-lqcodemind	1001	AI agent for development tasks plus source-controlled AI checks	jetbrains-marketplace
Claude Review	kmfink	https://plugins.jetbrains.com/plugin/30307-claude-review	961	Runs Claude Code on unstaged git diffs on save	jetbrains-marketplace
On-Device AI Code Review	JEONYOUNGHO	https://plugins.jetbrains.com/plugin/25074-on-device-ai-code-review	905	Ollama-powered AI code reviews entirely on-device	jetbrains-marketplace
AgentellIJ	AgentelliJ	https://plugins.jetbrains.com/plugin/31082-agentellij	886	Hosts terminal-based AI coding agents in IntelliJ	jetbrains-marketplace
GPT CodeHelper	daodao97	https://plugins.jetbrains.com/plugin/22235-gpt-codehelper	867	GPT-based personal code assistant	jetbrains-marketplace
Code Assistant	vyibc ai	https://plugins.jetbrains.com/plugin/28486-code-assistant	865	AI code translation, explanation, and chat via multiple providers	jetbrains-marketplace
Pi Agent Launcher	haokanjiang	https://plugins.jetbrains.com/plugin/31737-pi-agent-launcher	837	One-click launcher keeping the Pi coding agent CLI inside the IDE	jetbrains-marketplace
AICodeTransformer	sualpha	https://plugins.jetbrains.com/plugin/28570-aicodetransformer	810	Trigger custom AI instructions via shortcuts	jetbrains-marketplace
By AI Code Review	ByAICodeReview	https://plugins.jetbrains.com/plugin/25869-by-ai-code-review	770	LLM-based code review assistant (Chinese vendor)	jetbrains-marketplace
Rikki Coding Agent	Creeper5261	https://plugins.jetbrains.com/plugin/30315-rikki-coding-agent	753	Lightweight AI coding assistant connecting directly to LLM APIs	jetbrains-marketplace
Oraclia AI	Pavel Ch	https://plugins.jetbrains.com/plugin/27674-oraclia-ai	721	AI-powered code assistant for JetBrains	jetbrains-marketplace
AgentPort	AgentPort	https://plugins.jetbrains.com/plugin/30472-agentport	698	Universal ACP client connecting any Agent Client Protocol agent to JetBrains	jetbrains-marketplace
RX GUI	68110923	https://plugins.jetbrains.com/plugin/32054-rx-gui	643	Reasonix AI coding assistant sidebar	jetbrains-marketplace
Guidewire AI Agent	Arka	https://plugins.jetbrains.com/plugin/32462-guidewire-ai-agent	617	Enterprise agentic IDE plugin for Guidewire development	jetbrains-marketplace
DeepSeek Code Assistant	Lingxi	https://plugins.jetbrains.com/plugin/29569-deepseek-code-assistant	549	DeepSeek-API-powered code modification tool	jetbrains-marketplace
Jitera	Jitera	https://plugins.jetbrains.com/plugin/25696-jitera	527	AI programming agent/context system automating code	jetbrains-marketplace
Refio	jclab	https://plugins.jetbrains.com/plugin/30487-refio	523	Local-first AI coding assistant with native IntelliJ integration	jetbrains-marketplace
OmniCode Agent	OmniCode	https://plugins.jetbrains.com/plugin/33002-omnicode-agent	488	Provider-neutral AI coding and research agent with editable Plan Board	jetbrains-marketplace
CybeDefend	CybeDefend	https://plugins.jetbrains.com/plugin/27580-cybedefend	477	AI-powered coding agent and security scanner	jetbrains-marketplace
Naixt	stephen-chancetop	https://plugins.jetbrains.com/plugin/26662-naixt	448	Coding agent with configurable LLM endpoint	jetbrains-marketplace
KaiTester	Valentin Podkopaev	https://plugins.jetbrains.com/plugin/26141-kaitester	445	AI-powered unit test generator for Kotlin	jetbrains-marketplace
CodeFlux	CodeFlux	https://plugins.jetbrains.com/plugin/26937-codeflux	440	Open-source AI coding assistant; connect any model	jetbrains-marketplace
Agent GUI	matsumo0922	https://plugins.jetbrains.com/plugin/30428-agent-gui	422	Native chat GUI for AI coding agents inside JetBrains	jetbrains-marketplace
QA CoPilot	Piyush Joshi	https://plugins.jetbrains.com/plugin/31496-qa-copilot	386	AI-powered API test generation for Spring Boot	jetbrains-marketplace
ETRX Code Reviewer	Chiny Chiu	https://plugins.jetbrains.com/plugin/28439-etrx-code-reviewer	363	AI code review with customizable prompts	jetbrains-marketplace
CodeSense AI	chenp	https://plugins.jetbrains.com/plugin/31277-codesense-ai	347	LLM-powered intelligent code assistant (Chinese)	jetbrains-marketplace
AxxCodeIDX	devopts	https://plugins.jetbrains.com/plugin/23016-axxcodeidx	346	AI coding assistant with real-time completion and chat	jetbrains-marketplace
AI Agent CLI Bridge	Hannos	https://plugins.jetbrains.com/plugin/31364-ai-agent-cli-bridge	345	Launch preconfigured AI terminal sessions with IDE context	jetbrains-marketplace
Sypha	Sypha	https://plugins.jetbrains.com/plugin/30512-sypha	338	AI coding assistant for planning, improvising, debugging	jetbrains-marketplace
AI Tests By Mavka	Clear Solutions	https://plugins.jetbrains.com/plugin/27702-ai-tests-by-mavka	330	AI-powered unit test generation	jetbrains-marketplace
LISA AI Assistant	trinadhkoya	https://plugins.jetbrains.com/plugin/29577-lisa-ai-assistant	321	Language-Integrated Smart Agent AI companion	jetbrains-marketplace
Auto Git CR	KanDaWa	https://plugins.jetbrains.com/plugin/29692-auto-git-cr	309	Automatic AI code review after git commit	jetbrains-marketplace
SmartDoc	Vahid Etemadi	https://plugins.jetbrains.com/plugin/28786-smartdoc	300	AI agent for method documentation updates	jetbrains-marketplace
Sigil - Coding Assistant	José M. Nieves	https://plugins.jetbrains.com/plugin/32492-sigil--coding-assistant	299	AI-assisted development plugin powered by OpenCode	jetbrains-marketplace
JDC Pre-Commit Code Review	jdctools	https://plugins.jetbrains.com/plugin/27669-jdc-pre-commit-code-review	285	Automatic AI-driven code reviews before Git commits	jetbrains-marketplace
codayinid	ptitcoutu	https://plugins.jetbrains.com/plugin/25806-codayinid	273	Integration of the Coday AI agent orchestrator in IntelliJ	jetbrains-marketplace
Code Review Helper 1.1.0	Rohit Phutane	https://plugins.jetbrains.com/plugin/27318-code-review-helper-1-1-0	266	Lightweight AI code reviewer for Java files during commit	jetbrains-marketplace
Sema Code	SemaCode	https://plugins.jetbrains.com/plugin/32783-sema-code	241	AI coding assistant / code copilot for JetBrains	jetbrains-marketplace
3TG TaaS	Coding Creed Technologies	https://plugins.jetbrains.com/plugin/30365-3tg-taas	222	Behavior-first AI test generation for TypeScript and React	jetbrains-marketplace
SpecBuddy	SpecBuddy	https://plugins.jetbrains.com/plugin/32645-specbuddy	221	Structured plan-to-step control layer over AI coding agents	jetbrains-marketplace
iHomeCoder-Win	iHomeCoder-Win	https://plugins.jetbrains.com/plugin/32575-ihomecoder-win	218	Intelligent development assistant with AI code completion (Chinese vendor)	jetbrains-marketplace
AI Git Code Review	mahairong	https://plugins.jetbrains.com/plugin/28479-ai-git-code-review	210	AI-powered code review of Git merge requests	jetbrains-marketplace
TNG Test Generator	tng.sh	https://plugins.jetbrains.com/plugin/28919-tng-test-generator	210	Generate tests using TNG for multiple languages	jetbrains-marketplace
Simple AI Code Reviewer	NeoZhou	https://plugins.jetbrains.com/plugin/28311-simple-ai-code-reviewer	208	AI code review on commit with Markdown reports	jetbrains-marketplace
DD Code GUI	ddcode	https://plugins.jetbrains.com/plugin/32827-dd-code-gui	205	AI coding assistant supporting Claude Agent SDK, Codex SDK, DeepSeek	jetbrains-marketplace
EasyAgent	hyqf98	https://plugins.jetbrains.com/plugin/31751-easyagent	203	Aggregates Claude Code, OpenCode, and Codex CLI into one IDE experience	jetbrains-marketplace
Sentra	Sentra	https://plugins.jetbrains.com/plugin/27479-sentra	199	Automated unit test generator	jetbrains-marketplace
QonQrete	QonQrete	https://plugins.jetbrains.com/plugin/30764-qonqrete	193	Deterministic AI coding agent in secure sandboxes	jetbrains-marketplace
kluster.ai	kluster.ai	https://plugins.jetbrains.com/plugin/30646-kluster-ai	192	Real-time AI code review catching bugs and vulnerabilities	jetbrains-marketplace
AI Code Reviewer	AI Code Reviewer	https://plugins.jetbrains.com/plugin/31071-ai-code-reviewer	185	AI-powered code review and refactoring	jetbrains-marketplace
CodeSetu	CodeSetu	https://plugins.jetbrains.com/plugin/31900-codesetu	182	Open-source multi-provider Copilot/Cursor alternative (India)	jetbrains-marketplace
Quanta AI	Quanta Dance	https://plugins.jetbrains.com/plugin/29113-quanta-ai	173	Agentic coding assistant: plan, implement, review, refactor	jetbrains-marketplace
CLI Agent Dock	Rwcoder	https://plugins.jetbrains.com/plugin/32765-cli-agent-dock	164	Dedicated tool window bringing CLI coding agents into JetBrains	jetbrains-marketplace
Lucid Chat	Turknet DevOps Team	https://plugins.jetbrains.com/plugin/29373-lucid-chat	164	Chat and agent modes via Ollama	jetbrains-marketplace
EggShell	Best Practice	https://plugins.jetbrains.com/plugin/31171-eggshell	156	Embeds terminal sessions dedicated to AI CLI coding agents	jetbrains-marketplace
Ceres AI Coding Assistant with Voice	Andreas Express	https://plugins.jetbrains.com/plugin/32670-ceres-ai-coding-assistant-with-voice	150	Coding help with voice input and code review	jetbrains-marketplace
OmniPilot - Bring Your Own Model	Tejas Soni	https://plugins.jetbrains.com/plugin/32760-omnipilot--bring-your-own-model	145	Fully autonomous BYO-model AI coding assistant	jetbrains-marketplace
Kf-CR	He Zhixian	https://plugins.jetbrains.com/plugin/28113-kf-cr	143	AI code review analyzing local changes through Git	jetbrains-marketplace
HuiCai AI	ChenBo	https://plugins.jetbrains.com/plugin/32855-huicai-ai	141	JetBrains edition of the HuiCai AI assistant with agent core	jetbrains-marketplace
CrickCoder AI IDE	CrickCoder	https://plugins.jetbrains.com/plugin/31468-crickcoder-ai-ide	139	Fully autonomous coding assistant for JetBrains	jetbrains-marketplace
JetPilot	QuantumLeapProjects	https://plugins.jetbrains.com/plugin/31736-jetpilot	138	Offline AI co-pilot via Ollama with tool calling	jetbrains-marketplace
AIVory Genie	AIVory, Inc.	https://plugins.jetbrains.com/plugin/32420-aivory-genie	129	Bring-your-own AI coding agent with edit-to-prompt tracing	jetbrains-marketplace
Karato - Agent for Sakana AI fugu	Imperial architects	https://plugins.jetbrains.com/plugin/32504-karato--agent-for-sakana-ai-fugu	124	In-IDE agent driving Codex CLI with Sakana AI's Fugu models	jetbrains-marketplace
AI Free Chat & Agent	Staks-sor	https://plugins.jetbrains.com/plugin/33364-ai-free-chat--agent	120	DeepSeek, Qwen, ChatGPT chats and coding agents in PyCharm	jetbrains-marketplace
MSB CodeGen	MSB	https://plugins.jetbrains.com/plugin/28517-msb-codegen	119	AI coding assistant suggesting code in real time	jetbrains-marketplace
Java ADK Assistant	Java ADK Assistant	https://plugins.jetbrains.com/plugin/31464-java-adk-assistant	116	AI assistant powered by Google Agent Development Kit	jetbrains-marketplace
flai	Andrei Isachenko	https://plugins.jetbrains.com/plugin/31958-flai	103	Turns IntelliJ into an agent runtime with YAML pipelines	jetbrains-marketplace
AI Dev MCP	Kush Patel	https://plugins.jetbrains.com/plugin/31053-ai-dev-mcp	102	Self-hosted AI coding agent running Qwen2.5-Coder locally	jetbrains-marketplace
Cyclops	Joseph Ferrara	https://plugins.jetbrains.com/plugin/31917-cyclops	96	AI coding agent orchestration: dispatch agents to implement issues	jetbrains-marketplace
Smart Push Review	Nishant Baranwal	https://plugins.jetbrains.com/plugin/29738-smart-push-review	95	AI-powered code review step in the Git commit workflow	jetbrains-marketplace
AI Lingshi	AI灵侍	https://plugins.jetbrains.com/plugin/32539-ai-lingshi	95	Chinese AI coding assistant connecting to local or Zhipu cloud models	jetbrains-marketplace
MaaS CodeAI	hx shi	https://plugins.jetbrains.com/plugin/28048-maas-codeai	92	Code generation and automated unit test creation	jetbrains-marketplace
AI Review	SmartToolboxOrg	https://plugins.jetbrains.com/plugin/30378-ai-review	91	GitHub PR-style code reviews in-IDE powered by Claude Code CLI	jetbrains-marketplace
Lean AI	lean-ai	https://plugins.jetbrains.com/plugin/31110-lean-ai	88	Agentic coding assistant with local LLM via Ollama	jetbrains-marketplace
WingCode	WingCode	https://plugins.jetbrains.com/plugin/29374-wingcode	76	AI coding assistant with intelligent completion	jetbrains-marketplace
Claude/Codex Sub Autocomplete	Kristjan Koemets	https://plugins.jetbrains.com/plugin/33230-claude-codex-sub-autocomplete	74	Native IntelliJ autocomplete using Claude Code or Codex subscriptions	jetbrains-marketplace
igni	Ignite Ember	https://plugins.jetbrains.com/plugin/32377-igni	74	AI coding assistant running parallel multi-agent workflows	jetbrains-marketplace
Whailion AI	Whailion	https://plugins.jetbrains.com/plugin/30085-whailion-ai	72	AI-assisted development with specialized AI agents	jetbrains-marketplace
Tell Me	EaseStack	https://plugins.jetbrains.com/plugin/30101-tell-me	62	Local AI assistant via Ollama LLMs	jetbrains-marketplace
LiyaAI Coding Agent	LiyaLabs	https://plugins.jetbrains.com/plugin/30623-liyaai-coding-agent	62	Chat agent that can read, write, and edit project files	jetbrains-marketplace
Converse	2 Small Cats LLC	https://plugins.jetbrains.com/plugin/31796-converse	61	Multiple AI agent sessions side-by-side	jetbrains-marketplace
PromptMate	Rising Mind Systems	https://plugins.jetbrains.com/plugin/30891-promptmate	60	AI-powered coding assistant	jetbrains-marketplace
